City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,punta arenas,-53.15,-70.9167,283.21,53,0,7.2,CL,1680300190
85,goderich,43.7501,-81.7165,280.33,100,100,3.6,CA,1680300190
86,kodiak,57.79,-152.4072,274.64,58,55,9.62,US,1680300191
87,namatanai,-3.6667,152.4333,299.84,82,100,3.28,PG,1680300191
88,macia,-25.0269,33.0989,293.42,96,20,0.6,MZ,1680300191
89,los llanos de aridane,28.6585,-17.9182,296.01,31,0,5.14,ES,1680300191
90,paracuru,-3.41,-39.0306,299.32,82,81,3.3,BR,1680300192
91,muroto,33.2833,134.15,288.37,67,45,3.22,JP,1680300192
92,kizukuri,40.8061,140.3861,281.45,85,0,3.88,JP,1680300193
93,caravelas,-17.7125,-39.2481,298.5,78,9,2.89,BR,1680300193
94,berlevag,70.8578,29.0864,273.12,93,75,15.95,NO,1680300193
95,aswan,24.0934,32.907,290.18,31,1,6.46,EG,1680300193
96,najran,17.4924,44.1277,298.51,52,47,2.61,SA,1680300194
97,kaduqli,11.0167,29.7167,300.74,10,89,6.22,SD,1680300194
98,rafraf,37.1904,10.1837,291.32,65,93,7.38,TN,1680300194
99,sibolga,1.7427,98.7792,297.66,82,95,1.29,ID,1680300194
100,santa cruz del norte,23.1539,-81.9236,299.04,76,85,8.72,CU,1680300194
101,newberry,34.2746,-81.6187,298.66,66,98,2.28,US,1680299951
102,sidi ali,36.0998,0.4206,288.51,43,29,3.02,DZ,1680300195
103,tambovka,50.0969,128.0489,276.69,59,0,6.36,RU,1680300195
104,east london,-33.0153,27.9116,291.25,76,36,1.98,ZA,1680300195
105,bethel,41.3712,-73.414,282.53,58,100,2.57,US,1680299947
106,natal,-5.795,-35.2094,300.51,65,0,4.12,BR,1680300196
107,pszczyna,49.9804,18.9538,283.27,80,96,5.1,PL,1680299978
108,boyolangu,-8.1181,111.8935,296.81,86,100,0.17,ID,1680300196
109,mbandaka,0.0487,18.2603,294.79,87,87,1.81,CD,1680300197
110,kalmunai,7.4167,81.8167,298.17,84,15,1.65,LK,1680300197
111,kurilsk,45.2333,147.8833,273.82,96,100,6.04,RU,1680300197
112,pevek,69.7008,170.3133,263.44,94,100,1.97,RU,1680300197
113,guilin,25.2819,110.2864,290.21,87,100,0.79,CN,1680300198
114,san patricio,28.017,-97.5169,305.46,53,100,6.73,US,1680300198
115,tual,-5.6667,132.75,301.61,72,93,2.25,ID,1680300198
116,vyshkov,52.4764,31.6873,277.09,97,100,3.09,RU,1680300199
117,guerrero negro,27.9769,-114.0611,292.3,41,79,6.71,MX,1680300199
118,provideniya,64.3833,-173.3,265.39,79,27,2.33,RU,1680300199
119,tuktoyaktuk,69.4541,-133.0374,253.15,71,20,8.23,CA,1680300199
120,nanortalik,60.1432,-45.2371,270.4,83,62,1.3,GL,1680300200
121,longyearbyen,78.2186,15.6401,262.06,79,75,4.12,SJ,1680300184
122,saint-philippe,-21.3585,55.7679,297.92,84,41,4.1,RE,1680300201
123,tiksi,71.6872,128.8694,248.63,95,100,4.78,RU,1680300201
124,cabedelo,-6.9811,-34.8339,300.52,76,6,3.89,BR,1680300201
125,clyde,41.3042,-82.9752,287.49,85,100,8.92,US,1680300202
126,poum,-20.2333,164.0167,299.97,78,54,4.95,NC,1680300202
127,narsaq,60.9167,-46.05,263.28,73,54,2.24,GL,1680300202
